"Indicators (H, M, L)",Mean,RB,ESE,ASE,CP
True,1.5,,,,
"(5, 0, 0)",1.51,0.4,0.15,0.15,94.3
"(0, 5, 0)",1.47,-2.28,0.17,0.17,94.5
"(0, 0, 5)",1.44,-3.91,0.19,0.19,94.6
"(1, 0, 4)",1.48,-1.64,0.16,0.16,94.4
"(10, 0, 0)",1.5,0.17,0.16,0.15,94.1
"(0, 10, 0)",1.49,-0.76,0.17,0.16,94.5
"(0, 0, 10)",1.48,-1.44,0.17,0.17,94.1
"(1, 0, 9)",1.49,-0.67,0.16,0.16,94.6
